Date,Sector,Post,Tank Capacity,Reported Stock,Available Storage Space,Avg Daily Consumption,Days of Supply
"May 26, 2025",ROD,ROD Fuel Station,"49,000","40,000","9,000",50,800
"May 26, 2025",ROD,ROD Generator,"10,000","5,000","5,000",50,100
"May 26, 2025",Northern Sector,HB GEN,"51,000","45,421","5,579",82,554
"May 26, 2025",Northern Sector,HB Fuel Station,"22,500","21,454","1,046",0,0
"May 26, 2025",Northern Sector,HH,"42,000","37,223","4,777",76,490
"May 26, 2025",Northern Sector,HS,"37,000","32,704","4,296",89,367
"May 26, 2025",Northern Sector,POS12 Fuel Station,"18,000","15,167","2,833",0,0
"May 26, 2025",Northern Sector,POS12A GEN,"40,000",29765,"10,235",301,99
"May 26, 2025",Central Section,POS10A,"20,000","17,806","2,194",75,237
"May 26, 2025",Central Section,POS17A,"4,000","4,000",0,0,0
"May 26, 2025",Central Section,POS 27 Fuel Station,"20,000","17,704","2,296",0,0
"May 26, 2025",Central Section,POS27 Gen,"10,000","8,685","1,315",0,0
"May 26, 2025",Central Section,POS32,"11,000","10,463",537,0,0
"May 26, 2025",Central Section,POS37,"20,000","19,087",913,32,596
"May 26, 2025",Central Section,POS60,"20,000","15,057","4,943",43,350
"May 26, 2025",Western Section,CZ,"60,000","37,815","22,185",0,0
"May 26, 2025",Western Section,POS22,"10,000","5,420","4,580",10,542
"May 26, 2025",Western Section,C Gate GEN,"2,000",905,"1,095",55,16
"May 26, 2025",Western Section,C Gate Central Heating,"1,000",950,50,0,0
"May 26, 2025",Southern Section,POS68,"20,000","18,960","1,040",25,758
"May 26, 2025",Southern Section,POS80 GEN,"11,000","6,327","4,673",295,21
"May 26, 2025",Southern Section,POS80 Fuel Station,"20,000","16,873","6,363",275,61
"May 26, 2025",Southern Section,POS85,"10,000","7,739","2,261",14,553
"May 26, 2025",Southern Section,POS86B,"20,000","20,000",0,70,286
"May 26, 2025",UNDOF Vehicle Registration,2085,"16,000","16,000",0,0,0
"May 26, 2025",UNDOF Vehicle Registration,2086,"16,000","16,000",0,0,0
"May 26, 2025",UNDOF Vehicle Registration,2087,"16,000","14,972",0,0,0
"May 26, 2025",UNDOF Vehicle Registration,4661,"16,000","16,000",0,0,0
"May 26, 2025",UNDOF Vehicle Registration,4662,"16,000","13,800",0,0,0
"May 26, 2025",UNDOF Vehicle Registration,4663,"16,000","16,000",0,0,0
"May 26, 2025",UNDOF Vehicle Registration,4664,"16,000","16,000",0,0,0
"May 26, 2025",UNDOF Vehicle Registration,4665,"16,000",0,0,0,0
"May 27, 2025",Camp Faouar,CF Gen,,,0,0,0
"May 27, 2025",Camp Faouar,CF Fuel Station,,,0,0,0
"May 27, 2025",Camp Faouar,CF Supply Food Storage GEN (Backup) ,,,0,0,0
"May 27, 2025",Camp Faouar,CF JOC GEN (Backup) ,,,0,0,0
"May 27, 2025",Camp Faouar,CF CITS/Hospital GEN (Backup) ,,,0,0,0
"May 27, 2025",Camp Faouar,CF Pentagon GEN (Backup) ,,,0,0,0
"May 27, 2025",Camp Faouar,CF IK Kitchen GEN (Backup) ,,,0,0,0
"May 27, 2025",Camp Faouar,Reserve VDP,,,0,0,0
"May 27, 2025",ROD,ROD Fuel Station,,,0,0,0
"May 27, 2025",ROD,ROD Generator,,,0,0,0
"May 27, 2025",Northern Sector,HB GEN,,,0,0,0
"May 27, 2025",Northern Sector,HB Fuel Station,,,0,0,0
"May 27, 2025",Northern Sector,HH,,,0,0,0
"May 27, 2025",Northern Sector,HS,,,0,0,0
"May 27, 2025",Northern Sector,POS12 Fuel Station,,,0,0,0
"May 27, 2025",Northern Sector,POS12A GEN,,,0,0,0
"May 27, 2025",Central Section,POS10A,,,0,0,0
"May 27, 2025",Central Section,POS17A,,,0,0,0
"May 27, 2025",Central Section,POS 27 Fuel Station,,,0,0,0
"May 27, 2025",Central Section,POS27 Gen,,,0,0,0
"May 27, 2025",Central Section,POS32,,,0,0,0
"May 27, 2025",Central Section,POS37,,,0,0,0
"May 27, 2025",Central Section,POS60,,,0,0,0
"May 27, 2025",Western Section,CZ,,,0,0,0
"May 27, 2025",Western Section,POS22,,,0,0,0
"May 27, 2025",Western Section,C Gate GEN,,,0,0,0
"May 27, 2025",Western Section,C Gate Central Heating,,,0,0,0
"May 27, 2025",Southern Section,POS68,,,0,0,0
"May 27, 2025",Southern Section,POS80 GEN,,,0,0,0
"May 27, 2025",Southern Section,POS80 Fuel Station,,,0,0,0
"May 27, 2025",Southern Section,POS85,,,0,0,0
"May 27, 2025",Southern Section,POS86B,,,0,0,0
"May 27, 2025",UNDOF Vehicle Registration,2085,,,0,0,0
"May 27, 2025",UNDOF Vehicle Registration,2086,,,0,0,0
"May 27, 2025",UNDOF Vehicle Registration,2087,,,0,0,0
"May 27, 2025",UNDOF Vehicle Registration,4661,,,0,0,0
"May 27, 2025",UNDOF Vehicle Registration,4662,,,0,0,0
"May 27, 2025",UNDOF Vehicle Registration,4663,,,0,0,0
"May 27, 2025",UNDOF Vehicle Registration,4664,,,0,0,0
"May 27, 2025",UNDOF Vehicle Registration,4665,,,0,0,0
"May 28, 2025",Camp Faouar,CF Gen,,,0,0,0
"May 28, 2025",Camp Faouar,CF Fuel Station,,,0,0,0
"May 28, 2025",Camp Faouar,CF Supply Food Storage GEN (Backup) ,,,0,0,0
"May 28, 2025",Camp Faouar,CF JOC GEN (Backup) ,,,0,0,0
"May 28, 2025",Camp Faouar,CF CITS/Hospital GEN (Backup) ,,,0,0,0
"May 28, 2025",Camp Faouar,CF Pentagon GEN (Backup) ,,,0,0,0
"May 28, 2025",Camp Faouar,CF IK Kitchen GEN (Backup) ,,,0,0,0
"May 28, 2025",Camp Faouar,Reserve VDP,,,0,0,0
"May 28, 2025",ROD,ROD Fuel Station,,,0,0,0
"May 28, 2025",ROD,ROD Generator,,,0,0,0
"May 28, 2025",Northern Sector,HB GEN,,,0,0,0
"May 28, 2025",Northern Sector,HB Fuel Station,,,0,0,0
"May 28, 2025",Northern Sector,HH,,,0,0,0
"May 28, 2025",Northern Sector,HS,,,0,0,0
"May 28, 2025",Northern Sector,POS12 Fuel Station,,,0,0,0
"May 28, 2025",Northern Sector,POS12A GEN,,,0,0,0
"May 28, 2025",Central Section,POS10A,,,0,0,0
"May 28, 2025",Central Section,POS17A,,,0,0,0
"May 28, 2025",Central Section,POS 27 Fuel Station,,,0,0,0
"May 28, 2025",Central Section,POS27 Gen,,,0,0,0
"May 28, 2025",Central Section,POS32,,,0,0,0
"May 28, 2025",Central Section,POS37,,,0,0,0
"May 28, 2025",Central Section,POS60,,,0,0,0
"May 28, 2025",Western Section,CZ,,,0,0,0
"May 28, 2025",Western Section,POS22,,,0,0,0
"May 28, 2025",Western Section,C Gate GEN,,,0,0,0
"May 28, 2025",Western Section,C Gate Central Heating,,,0,0,0
"May 28, 2025",Southern Section,POS68,,,0,0,0
"May 28, 2025",Southern Section,POS80 GEN,,,0,0,0
"May 28, 2025",Southern Section,POS80 Fuel Station,,,0,0,0
"May 28, 2025",Southern Section,POS85,,,0,0,0
"May 28, 2025",Southern Section,POS86B,,,0,0,0
"May 28, 2025",UNDOF Vehicle Registration,2085,,,0,0,0
"May 28, 2025",UNDOF Vehicle Registration,2086,,,0,0,0
"May 28, 2025",UNDOF Vehicle Registration,2087,,,0,0,0
"May 28, 2025",UNDOF Vehicle Registration,4661,,,0,0,0
"May 28, 2025",UNDOF Vehicle Registration,4662,,,0,0,0
"May 28, 2025",UNDOF Vehicle Registration,4663,,,0,0,0
"May 28, 2025",UNDOF Vehicle Registration,4664,,,0,0,0
"May 28, 2025",UNDOF Vehicle Registration,4665,,,0,0,0
"May 29, 2025",Camp Faouar,CF Gen,,,0,0,0
"May 29, 2025",Camp Faouar,CF Fuel Station,,,0,0,0
"May 29, 2025",Camp Faouar,CF Supply Food Storage GEN (Backup) ,,,0,0,0
"May 29, 2025",Camp Faouar,CF JOC GEN (Backup) ,,,0,0,0
"May 29, 2025",Camp Faouar,CF CITS/Hospital GEN (Backup) ,,,0,0,0
"May 29, 2025",Camp Faouar,CF Pentagon GEN (Backup) ,,,0,0,0
"May 29, 2025",Camp Faouar,CF IK Kitchen GEN (Backup) ,,,0,0,0
"May 29, 2025",Camp Faouar,Reserve VDP,,,0,0,0
"May 29, 2025",ROD,ROD Fuel Station,,,0,0,0
"May 29, 2025",ROD,ROD Generator,,,0,0,0
"May 29, 2025",Northern Sector,HB GEN,,,0,0,0
"May 29, 2025",Northern Sector,HB Fuel Station,,,0,0,0
"May 29, 2025",Northern Sector,HH,,,0,0,0
"May 29, 2025",Northern Sector,HS,,,0,0,0
"May 29, 2025",Northern Sector,POS12 Fuel Station,,,0,0,0
"May 29, 2025",Northern Sector,POS12A GEN,,,0,0,0
"May 29, 2025",Central Section,POS10A,,,0,0,0
"May 29, 2025",Central Section,POS17A,,,0,0,0
"May 29, 2025",Central Section,POS 27 Fuel Station,,,0,0,0
"May 29, 2025",Central Section,POS27 Gen,,,0,0,0
"May 29, 2025",Central Section,POS32,,,0,0,0
"May 29, 2025",Central Section,POS37,,,0,0,0
"May 29, 2025",Central Section,POS60,,,0,0,0
"May 29, 2025",Western Section,CZ,,,0,0,0
"May 29, 2025",Western Section,POS22,,,0,0,0
"May 29, 2025",Western Section,C Gate GEN,,,0,0,0
"May 29, 2025",Western Section,C Gate Central Heating,,,0,0,0
"May 29, 2025",Southern Section,POS68,,,0,0,0
"May 29, 2025",Southern Section,POS80 GEN,,,0,0,0
"May 29, 2025",Southern Section,POS80 Fuel Station,,,0,0,0
"May 29, 2025",Southern Section,POS85,,,0,0,0
"May 29, 2025",Southern Section,POS86B,,,0,0,0
"May 29, 2025",UNDOF Vehicle Registration,2085,,,0,0,0
"May 29, 2025",UNDOF Vehicle Registration,2086,,,0,0,0
